date,time,lon,lat,P,H,T,RH,U,V
2018/08/26 , 23:14:08   ,121.44346999999999,24.99655,873,1269.59,20.14,97.0,5.23140379,-1.69776747
2018/08/26 , 23:14:10   ,121.44351999999999,24.99653,872,1277.31,20.13,96.9,4.99631441,-1.12871733
2018/08/26 , 23:14:11   ,121.44356,24.99651,871,1284.12,20.1,96.9,4.45507278,-2.15750469
2018/08/26 , 23:14:12   ,121.44358999999999,24.9965,871,1290.36,20.07,96.8,2.39895591,-1.15815136
2018/08/26 , 23:14:13   ,121.4436,24.996489999999998,870,1295.99,20.05,96.6,2.03123274,-0.980624508
2018/08/26 , 23:14:14   ,121.44358999999999,24.996489999999998,869,1300.18,20.03,96.5,0.20221715699999998,-2.24368356
2018/08/26 , 23:14:15   ,121.44356,24.996489999999998,869,1305.07,20.02,96.4,0.29572077399999996,-3.28114514
2018/08/26 , 23:14:15   ,121.44351999999999,24.996489999999998,869,1309.59,20.01,96.3,0.23537977300000001,-2.6116366
2018/08/26 , 23:14:17   ,121.44351,24.99651,868,1313.53,19.98,96.2,0.23363437199999998,-2.59227065
2018/08/26 , 23:14:17   ,121.44349,24.99654,868,1318.04,19.96,96.2,0.303450406,-3.36690863
